"filename", "language", "Vue", "JavaScript", "YAML", "XML", "SCSS", "CSS", "comment", "blank", "total"
"g:\MyVue\vue-element-admin\src\App.vue", "Vue", 10, 0, 0, 0, 0, 0, 0, 2, 12
"g:\MyVue\vue-element-admin\src\api\OA.js", "JavaScript", 0, 9, 0, 0, 0, 0, 4, 2, 15
"g:\MyVue\vue-element-admin\src\api\RSA.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 3, 28
"g:\MyVue\vue-element-admin\src\api\codeDict.js", "JavaScript", 0, 55, 0, 0, 0, 0, 20, 7, 82
"g:\MyVue\vue-element-admin\src\api\department.js", "JavaScript", 0, 54, 0, 0, 0, 0, 20, 6, 80
"g:\MyVue\vue-element-admin\src\api\employee.js", "JavaScript", 0, 79, 0, 0, 0, 0, 36, 8, 123
"g:\MyVue\vue-element-admin\src\api\enum.js", "JavaScript", 0, 37, 0, 0, 0, 0, 17, 4, 58
"g:\MyVue\vue-element-admin\src\api\formularSlv.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 5, 42
"g:\MyVue\vue-element-admin\src\api\import.js", "JavaScript", 0, 32, 0, 0, 0, 0, 20, 3, 55
"g:\MyVue\vue-element-admin\src\api\qiniu.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"g:\MyVue\vue-element-admin\src\api\remote-search.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 18
"g:\MyVue\vue-element-admin\src\api\report.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"g:\MyVue\vue-element-admin\src\api\role.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 6, 39
"g:\MyVue\vue-element-admin\src\api\salary.js", "JavaScript", 0, 157, 0, 0, 0, 0, 1, 17, 175
"g:\MyVue\vue-element-admin\src\api\salaryType.js", "JavaScript", 0, 109, 0, 0, 0, 0, 13, 12, 134
"g:\MyVue\vue-element-admin\src\api\test.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"g:\MyVue\vue-element-admin\src\api\user.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 5, 33
"g:\MyVue\vue-element-admin\src\api\welfare.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"g:\MyVue\vue-element-admin\src\assets\custom-theme\index.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\MyVue\vue-element-admin\src\components\BackToTop\index.vue", "Vue", 105, 0, 0, 0, 0, 0, 0, 7, 112
"g:\MyVue\vue-element-admin\src\components\Breadcrumb\index.vue", "Vue", 73, 0, 0, 0, 0, 0, 3, 7, 83
"g:\MyVue\vue-element-admin\src\components\Charts\Keyboard.vue", "Vue", 152, 0, 0, 0, 0, 0, 0, 4, 156
"g:\MyVue\vue-element-admin\src\components\Charts\LineMarker.vue", "Vue", 222, 0, 0, 0, 0, 0, 0, 6, 228
"g:\MyVue\vue-element-admin\src\components\Charts\MixChart.vue", "Vue", 265, 0, 0, 0, 0, 0, 0, 7, 272
"g:\MyVue\vue-element-admin\src\components\Charts\mixins\resize.js", "JavaScript", 0, 48, 0, 0, 0, 0, 4, 5, 57
"g:\MyVue\vue-element-admin\src\components\DndList\index.vue", "Vue", 155, 0, 0, 0, 0, 0, 2, 10, 167
"g:\MyVue\vue-element-admin\src\components\DragSelect\index.vue", "Vue", 59, 0, 0, 0, 0, 0, 2, 5, 66
"g:\MyVue\vue-element-admin\src\components\Dropzone\index.vue", "Vue", 265, 0, 0, 0, 0, 0, 11, 22, 298
"g:\MyVue\vue-element-admin\src\components\ErrorLog\index.vue", "Vue", 75, 0, 0, 0, 0, 0, 0, 4, 79
"g:\MyVue\vue-element-admin\src\components\GithubCorner\index.vue", "Vue", 51, 0, 0, 0, 0, 0, 0, 4, 55
"g:\MyVue\vue-element-admin\src\components\Hamburger\index.vue", "Vue", 41, 0, 0, 0, 0, 0, 0, 4, 45
"g:\MyVue\vue-element-admin\src\components\HeaderSearch\index.vue", "Vue", 160, 0, 0, 0, 0, 0, 8, 13, 181
"g:\MyVue\vue-element-admin\src\components\ImageCropper\index.vue", "Vue", 1688, 0, 0, 0, 0, 0, 84, 8, 1780
"g:\MyVue\vue-element-admin\src\components\ImageCropper\utils\data2blob.js", "JavaScript", 0, 11, 0, 0, 0, 0, 8, 1, 20
"g:\MyVue\vue-element-admin\src\components\ImageCropper\utils\effectRipple.js", "JavaScript", 0, 32, 0, 0, 0, 0, 7, 1, 40
"g:\MyVue\vue-element-admin\src\components\ImageCropper\utils\language.js", "JavaScript", 0, 230, 0, 0, 0, 0, 0, 3, 233
"g:\MyVue\vue-element-admin\src\components\ImageCropper\utils\mimes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"g:\MyVue\vue-element-admin\src\components\Pagination\index.vue", "Vue", 98, 0, 0, 0, 0, 0, 0, 4, 102
"g:\MyVue\vue-element-admin\src\components\PanThumb\index.vue", "Vue", 118, 0, 0, 0, 0, 0, 12, 13, 143
