Date : 2023-09-06 11:26:00
Directory : g:\MyVue\vue-element-admin\src
Total : 253 files,  19297 codes, 1495 comments, 1150 blanks, all 21942 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        100 |     14,650 |        574 |        616 |     15,840 |
| JavaScript |         78 |      3,615 |        860 |        381 |      4,856 |
| SCSS       |          9 |        946 |         48 |        148 |      1,142 |
| XML        |         64 |         80 |          0 |          0 |         80 |
| YAML       |          1 |          5 |         13 |          5 |         23 |
| CSS        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        253 |     19,297 |      1,495 |      1,150 |     21,942 |
| . (Files)                                                                            |          4 |        151 |         65 |         29 |        245 |
| api                                                                                  |         17 |        727 |        131 |         91 |        949 |
| assets                                                                               |          1 |          1 |          0 |          0 |          1 |
| assets\custom-theme                                                                  |          1 |          1 |          0 |          0 |          1 |
| components                                                                           |         38 |      5,678 |        212 |        249 |      6,139 |
| components\BackToTop                                                                 |          1 |        105 |          0 |          7 |        112 |
| components\Breadcrumb                                                                |          1 |         73 |          3 |          7 |         83 |
| components\Charts                                                                    |          4 |        687 |          4 |         22 |        713 |
| components\Charts (Files)                                                            |          3 |        639 |          0 |         17 |        656 |
| components\Charts\mixins                                                             |          1 |         48 |          4 |          5 |         57 |
| components\DndList                                                                   |          1 |        155 |          2 |         10 |        167 |
| components\DragSelect                                                                |          1 |         59 |          2 |          5 |         66 |
| components\Dropzone                                                                  |          1 |        265 |         11 |         22 |        298 |
| components\ErrorLog                                                                  |          1 |         75 |          0 |          4 |         79 |
| components\GithubCorner                                                              |          1 |         51 |          0 |          4 |         55 |
| components\Hamburger                                                                 |          1 |         41 |          0 |          4 |         45 |
